date,Appliances,lights,T1,RH_1
11/1/2016 17:00,60,30,19.89,47.59666667
11/1/2016 17:10,60,30,19.89,46.69333333
11/1/2016 17:20,50,30,19.89,46.3
11/1/2016 17:30,50,40,19.89,46.06666667
11/1/2016 17:40,60,40,19.89,46.33333333
11/1/2016 17:50,50,40,19.89,46.02666667
11/1/2016 18:00,60,50,19.89,45.76666667
11/1/2016 18:10,60,50,19.85666667,45.56
11/1/2016 18:20,60,40,19.79,45.5975
11/1/2016 18:30,70,40,19.85666667,46.09
11/1/2016 18:40,230,70,19.92666667,45.86333333
11/1/2016 18:50,580,60,20.06666667,46.39666667
11/1/2016 19:00,430,50,20.13333333,48
11/1/2016 19:10,250,40,20.26,52.72666667
11/1/2016 19:20,100,10,20.42666667,55.89333333
11/1/2016 19:30,100,10,20.56666667,53.89333333
11/1/2016 19:40,90,10,20.73,52.66
11/1/2016 19:50,70,30,20.85666667,53.66
11/1/2016 20:00,80,30,20.89,51.19333333
11/1/2016 20:10,140,40,20.89,49.8
11/1/2016 20:20,120,20,20.89,48.43333333
11/1/2016 20:30,190,40,20.96333333,47.63333333
11/1/2016 20:40,110,40,21.03333333,47.06333333
11/1/2016 20:50,110,40,21.1,46.59666667
11/1/2016 21:00,110,30,21.13333333,46.06
11/1/2016 21:10,110,20,21.2,45.8
11/1/2016 21:20,100,30,21.29,45.9
11/1/2016 21:30,100,20,21.35666667,45.82666667
11/1/2016 21:40,100,20,21.39,45.69
11/1/2016 21:50,100,20,21.5,45.33333333
11/1/2016 22:00,110,20,21.5,45.12666667
11/1/2016 22:10,400,20,21.53333333,44.96666667
11/1/2016 22:20,400,20,21.6,44.76666667
11/1/2016 22:30,390,30,21.6,44.56
11/1/2016 22:40,240,20,21.6,44.36
11/1/2016 22:50,60,20,21.6,44.2
11/1/2016 23:00,60,20,21.6,44.2
11/1/2016 23:10,60,20,21.6,44.2
11/1/2016 23:20,50,10,21.6,44.2
11/1/2016 23:30,70,20,21.5,44.23
11/1/2016 23:40,60,20,21.5,44.36333333
11/1/2016 23:50,40,20,21.39,44.43333333
12/1/2016 0:00,40,10,21.39,44.56
12/1/2016 0:10,30,20,21.29,44.82666667
12/1/2016 0:20,40,20,21.29,44.96666667
12/1/2016 0:30,50,20,21.26,45.09
12/1/2016 0:40,310,10,21.2,45.09
12/1/2016 0:50,380,20,21.16666667,45.23
12/1/2016 1:00,380,20,21.075,45.3725
12/1/2016 1:10,370,20,21,45.4
12/1/2016 1:20,120,10,21,45.59
12/1/2016 1:30,50,0,20.92666667,45.59
12/1/2016 1:40,40,0,20.89,45.66666667
12/1/2016 1:50,50,0,20.89,46.06
12/1/2016 2:00,40,0,20.79,46.2
12/1/2016 2:10,50,0,20.79,46.2
12/1/2016 2:20,50,0,20.7,46.26
12/1/2016 2:30,50,0,20.7,46.2
12/1/2016 2:40,40,0,20.6,46.2
12/1/2016 2:50,40,0,20.6,46.12666667
12/1/2016 3:00,30,0,20.56666667,46.06666667
12/1/2016 3:10,20,0,20.5,46.2
